"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Интеграционный тест: отправка текстового JSON-сообщения через Producer в топик Kafka и его асинхронное получение через Consumer (Awaitility).","65022","Проверка отправки и вычитки сообщения из Kafka","Surefire suite","2026-09-18","broken","2026-09-18","tests.kafka.KafkaClientTest","Surefire test","tests.kafka.KafkaClientTest","testKafkaMessageFlow"
"Проверка строки поиска в каталоге книг по заданным названиям.","783","Поиск книги в Book Store","Surefire suite","2026-09-18","passed","2026-09-18","tests.ui.BookStoreTest","Surefire test","tests.ui.BookStoreTest","testSearchBookInBookStore"
"Проверка корректного обращения сервиса к RestClient за полным списком книг и возвращения его без ошибок.","1","Проверка получения списка книг с помощью мока","Surefire suite","2026-09-18","passed","2026-09-18","tests.unit.BookStoreServiceUnitTest","Surefire test","tests.unit.BookStoreServiceUnitTest","testGetBooksSuccess"
"Проверка отклонения входа при использовании списка невалидных паролей.","6082","Авторизация пользователя с неверными данными","Surefire suite","2026-09-18","passed","2026-09-18","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","testOfLoginWithInvalidCredentials"
"Проверка успешного логина пользователя с получением имени пользователя и токена доступа.","953","Авторизация пользователя","Surefire suite","2026-09-18","passed","2026-09-18","tests.api.AuthorizationTest","Surefire test","tests.api.AuthorizationTest","testLogin"
"Проверка отклонения входа при использовании списка невалидных паролей.","6073","Авторизация пользователя с неверными данными","Surefire suite","2026-09-18","passed","2026-09-18","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","testOfLoginWithInvalidCredentials"
"Проверяет вызов метода DELETE для очистки списка книг конкретного пользователя с передачей токена.","4","Проверка удаления всех книг пользователя","Surefire suite","2026-09-18","passed","2026-09-18","tests.unit.BookStoreServiceUnitTest","Surefire test","tests.unit.BookStoreServiceUnitTest","testDeleteAllBooks"
"Проверка отклонения входа при использовании списка невалидных паролей.","6097","Авторизация пользователя с неверными данными","Surefire suite","2026-09-18","passed","2026-09-18","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","testOfLoginWithInvalidCredentials"
"Проверка входа в систему с использованием учетных данных, полученных из базы данных.","1311","Авторизация пользователя из базы данных","Surefire suite","2026-09-18","broken","2026-09-18","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","loginFromDatabase"
"Проверка строки поиска в каталоге книг по заданным названиям.","292","Поиск книги в Book Store","Surefire suite","2026-09-18","passed","2026-09-18","tests.ui.BookStoreTest","Surefire test","tests.ui.BookStoreTest","testSearchBookInBookStore"
